title,text,label
Government announces new education policy,The government announced a new education policy to improve access to higher education.,real
Scientists publish new climate study,Researchers published a study examining recent changes in global climate patterns.,real
University launches scholarship program,A university announced a new scholarship program for undergraduate students.,real
Local hospital opens new emergency unit,The hospital opened a new emergency unit to provide additional medical services.,real
City starts public transport improvement project,City officials announced improvements to public transportation infrastructure.,real
Weather department issues rain advisory,The national weather service issued an advisory warning residents about heavy rainfall.,real
New software update improves security,The company released a software update containing several security improvements.,real
Researchers develop new battery technology,Researchers reported progress on a battery technology designed to improve energy storage.,real
School introduces computer science program,The school introduced a computer science program for students interested in technology.,real
Central bank announces interest rate decision,The central bank announced its latest decision on the national interest rate.,real
Scientists discover miracle pill that cures every disease,A viral article claims that one secret pill can instantly cure every known disease.,fake
Celebrity says drinking water makes people invisible,A social media post claims a celebrity discovered a method that makes people invisible by drinking water.,fake
Government gives every citizen a free luxury car,A viral post claims that the government will give every citizen a brand new luxury car for free.,fake
Eating one food makes you live forever,An online article claims that eating one special food can make humans live forever.,fake
Secret phone code gives unlimited free money,A viral message claims that entering a secret code on any phone will provide unlimited free money.,fake
Scientists confirm humans can breathe underwater naturally,A fabricated story claims scientists have proven that humans can breathe underwater without equipment.,fake
Moon will disappear for seven days,A social media post claims the moon will completely disappear from the sky for seven days.,fake
New app guarantees instant millionaire status,An advertisement claims a new app can make every user a millionaire within one day.,fake
Drinking coffee increases height overnight,A viral article falsely claims that drinking a special coffee can increase a persons height overnight.,fake
Government announces free private islands,A misleading online story claims every citizen can receive a free private island from the government.,fake
New public library opens in city,"City authorities opened a new public library offering books, study areas, and internet access.",real
Technology company expands research center,The technology company announced plans to expand its research and development center.,real
School organizes annual science competition,Students participated in an annual science competition organized by the school.,real
Health department launches vaccination campaign,The health department launched a public vaccination campaign for eligible residents.,real
Airport introduces updated security system,The airport introduced an updated security system to improve passenger screening.,real
Researchers study effects of sleep on memory,Researchers conducted a study investigating how sleep affects memory and learning.,real
New electric buses added to transport fleet,The transport authority added new electric buses to its public transportation fleet.,real
University opens artificial intelligence lab,The university announced the opening of a laboratory focused on artificial intelligence research.,real
Company reports quarterly financial results,The company published its quarterly financial results and business performance.,real
Farmers receive new agricultural training,Agricultural officials organized training sessions to help farmers improve farming practices.,real
